13-Sep-22 13:21:25 INFO run_ipd ............. run IPD 1605557700 .............
13-Sep-22 13:21:25 INFO remove_old_ips_from_range   > remove IPs older than 120 seconds
13-Sep-22 13:22:55 INFO remove_old_ips_from_range     removing 245801 expired IP addresses
13-Sep-22 13:22:55 INFO is_prevalent_ingress_still_valid   > Prevalent color still valid (s_color >= q)
13-Sep-22 13:23:47 INFO get_prevalent_ingress         prevalent for 4/14/95.220.0.0/prevalent: F-EH1.324 (0.99)
13-Sep-22 13:23:47 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:23:47 INFO join_siblings         join siblings for range 4/14/95.220.0.0/prevalent
13-Sep-22 13:23:47 INFO get_prevalent_ingress         prevalent for 4/14/93.244.0.0/prevalent: D-EB81.b_4 (1.00)
13-Sep-22 13:23:47 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:23:47 INFO join_siblings         join siblings for range 4/14/93.244.0.0/prevalent
13-Sep-22 13:23:47 INFO get_prevalent_ingress         prevalent for 4/14/91.124.0.0/prevalent: VIE-SB5.13 (0.99)
13-Sep-22 13:23:47 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:23:47 INFO join_siblings         join siblings for range 4/14/91.124.0.0/prevalent
13-Sep-22 13:23:47 INFO get_prevalent_ingress         prevalent for 4/14/89.204.0.0/prevalent: AMS-SB5.25 (0.97)
13-Sep-22 13:23:47 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:23:47 INFO join_siblings         join siblings for range 4/14/89.204.0.0/prevalent
13-Sep-22 13:23:47 INFO get_prevalent_ingress         prevalent for 4/14/85.212.0.0/prevalent: B-EH3.b_5 (0.95)
13-Sep-22 13:23:47 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:23:47 INFO join_siblings         join siblings for range 4/14/85.212.0.0/prevalent
13-Sep-22 13:24:05 INFO join_siblings  NO -> do nothing
13-Sep-22 13:24:05 INFO get_prevalent_ingress         prevalent for 4/14/78.132.0.0/prevalent: VIE-SA5.9 (0.95)
13-Sep-22 13:24:05 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:24:05 INFO join_siblings         join siblings for range 4/14/78.132.0.0/prevalent
13-Sep-22 13:24:05 INFO get_prevalent_ingress         prevalent for 4/14/52.44.0.0/prevalent: B-EH2.b_7 (0.96)
13-Sep-22 13:24:05 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:24:05 INFO join_siblings         join siblings for range 4/14/52.44.0.0/prevalent
13-Sep-22 13:24:05 INFO get_prevalent_ingress         prevalent for 4/14/52.220.0.0/prevalent: B-EJ1.b_6 (0.97)
13-Sep-22 13:24:05 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:24:05 INFO join_siblings         join siblings for range 4/14/52.220.0.0/prevalent
13-Sep-22 13:24:05 INFO get_prevalent_ingress         prevalent for 4/14/5.24.0.0/prevalent: IST-SA1.213 (0.98)
13-Sep-22 13:24:05 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:24:05 INFO join_siblings         join siblings for range 4/14/5.24.0.0/prevalent
13-Sep-22 13:24:23 INFO join_siblings  NO -> do nothing
13-Sep-22 13:24:23 INFO get_prevalent_ingress         prevalent for 4/14/5.168.0.0/prevalent: MIL-SA1.9 (0.98)
13-Sep-22 13:24:23 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:24:23 INFO join_siblings         join siblings for range 4/14/5.168.0.0/prevalent
13-Sep-22 13:24:23 INFO get_prevalent_ingress         prevalent for 4/14/34.88.0.0/prevalent: AMS-SC1.b_8 (0.99)
13-Sep-22 13:24:23 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:24:23 INFO join_siblings         join siblings for range 4/14/34.88.0.0/prevalent
13-Sep-22 13:24:41 INFO join_siblings  NO -> do nothing
13-Sep-22 13:24:41 INFO get_prevalent_ingress         prevalent for 4/14/31.16.0.0/prevalent: HH-EE1.182 (0.95)
13-Sep-22 13:24:41 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:24:41 INFO join_siblings         join siblings for range 4/14/31.16.0.0/prevalent
13-Sep-22 13:24:59 INFO join_siblings  NO -> do nothing
13-Sep-22 13:24:59 INFO get_prevalent_ingress         prevalent for 4/14/23.4.0.0/prevalent: VIE-SB5.1493 (1.00)
13-Sep-22 13:24:59 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:24:59 INFO join_siblings         join siblings for range 4/14/23.4.0.0/prevalent
13-Sep-22 13:24:59 WARNING get_prevalent_ingress         prevalent ingress VIE-SA5.359 for 4/14/212.28.0.0/prevalent below threshold (0.9494440735042239)
13-Sep-22 13:24:59 INFO get_prevalent_ingress         no prevalent ingress found: {}
13-Sep-22 13:24:59 INFO get_prevalent_ingress         prevalent for 4/14/212.28.0.0/prevalent: None (-1.00)
